date,alltvleth,yfiethtvl
2020-02-13,998141227,56801
2020-02-14,1023277305,56649
2020-02-15,1055128579,1262893
2020-02-16,1070597467,1372272
2020-02-17,1019628414,1844498
2020-02-18,962087017,2944405
2020-02-19,1013975252,4027126
2020-02-20,988622761,4047024
2020-02-21,894198309,4072829
2020-02-22,923040048,4755668
2020-02-23,786776840,5328025
2020-02-24,953797235,5583309
2020-02-25,960990593,6466665
2020-02-26,931125172,6945467
2020-02-27,849558897,7519237
2020-02-28,841631838,8220204
2020-02-29,816191863,7284799
2020-03-01,837791297,6567196
2020-03-02,830840679,6457100
2020-03-03,823770127,7848356
2020-03-04,848176177,7830815
2020-03-05,825669449,8525093
2020-03-06,848650270,8311253
2020-03-07,861521923,8440198
2020-03-08,877399409,8974346
2020-03-09,828756087,9078057
2020-03-10,758441227,9095786
2020-03-11,760942047,9202389
2020-03-12,767770310,9633066
2020-03-13,563842005,9738955
2020-03-14,513764196,8450309
2020-03-15,517854977,9303865
2020-03-16,501317250,10649641
2020-03-17,426777521,11406899
2020-03-18,472049263,10918265
2020-03-19,465359637,10803894
2020-03-20,497713837,10463127
2020-03-21,559896352,10544581
2020-03-22,518725841,10455751
2020-03-23,513673965,10523374
2020-03-24,500374976,9974853
2020-03-25,545221333,9893286
2020-03-26,543623555,10057156
2020-03-27,549217892,9909858
2020-03-28,552618572,9958540
2020-03-29,538221115,9940893
2020-03-30,536609848,9842692
2020-03-31,549472999,9718441
2020-04-01,559113314,9698147
2020-04-02,564178953,9693237
2020-04-03,580322785,9682459
2020-04-04,609004953,9845012
2020-04-05,598025709,9892515
2020-04-06,601585402,9975567
2020-04-07,625227045,9965474
2020-04-08,676653907,10288990
2020-04-09,663697611,10429085
2020-04-10,666163520,10260213
2020-04-11,620128391,11129639
2020-04-12,624794058,10662377
2020-04-13,620769540,10743122
2020-04-14,614161139,10791077
2020-04-15,621941493,11052070
2020-04-16,622193813,11202978
2020-04-17,654827326,11100582
2020-04-18,668578842,11395287
2020-04-19,687534422,11718678
2020-04-20,757239160,11875551
2020-04-21,754219197,9998008
2020-04-22,753099994,9140986
2020-04-23,815588893,9014547
2020-04-24,798245612,7931260
2020-04-25,789535505,2635056
2020-04-26,827225875,2518464
2020-04-27,858605737,2770545
2020-04-28,851747583,2767307
2020-04-29,868921621,2764636
2020-04-30,936667001,2752299
2020-05-01,957167581,2775943
2020-05-02,1002774203,2129582
2020-05-03,1023709423,2217981
2020-05-04,1026816719,2074600
2020-05-05,978078018,2144054
2020-05-06,1039045531,2147959
2020-05-07,1085764894,2176028
2020-05-08,1058706658,2137597
2020-05-09,1079672338,2097739
2020-05-10,1061836192,2086355
2020-05-11,1016645401,2116015
2020-05-12,1012285511,2074695
2020-05-13,1014263543,2016424
2020-05-14,1028934508,1966850
2020-05-15,1082940350,2114611
2020-05-16,1067191378,2787996
2020-05-17,1038717412,2726575
2020-05-18,1039924699,2729992
2020-05-19,1008949857,2727474
2020-05-20,1030213228,2724326
2020-05-21,1067226563,2698829
2020-05-22,1034443810,2840911
2020-05-23,1012981305,2816772
2020-05-24,1023132111,2807063
2020-05-25,1032943769,2574268
2020-05-26,1013963170,2569075
2020-05-27,1036054607,2564805
2020-05-28,1093871956,2570503
2020-05-29,1080808321,2591175
2020-05-30,1112105879,2580005
2020-05-31,1175553233,2580558
2020-06-01,1180995069,2559194
2020-06-02,1161217921,2536505
2020-06-03,1200384562,2512357
2020-06-04,1164500776,2521816
2020-06-05,1167432453,2499631
2020-06-06,1177665220,2504326
2020-06-07,1173092963,2501323
2020-06-08,1142023925,2488228
2020-06-09,1137359684,2495336
2020-06-10,1133027266,2493158
2020-06-11,1125034572,2485045
2020-06-12,1197174807,2580783
2020-06-13,1161210226,2518445
2020-06-14,1150736131,2545023
2020-06-15,968344551,2533566
2020-06-16,1094179599,2511927
