date,aave,uniswap,lido,maker,rocketpool,curve,convex,binancestakedeth,compound,Fraxeth,balancerv2,dydx,aura,yfi,snx,others
2018-11-03,,15.06%,,,,,,,,,,,,,,84.94%
2018-11-04,,17.52%,,,,,,,,,,,,,,82.48%
2018-11-05,,17.50%,,,,,,,,,,,,,,82.50%
2018-11-06,,18.21%,,,,,,,,,,,,,,81.79%
2018-11-07,,44.15%,,,,,,,,,,,,,,55.85%
2018-11-08,,47.86%,,,,,,,,,,,,,,52.14%
2018-11-09,,47.40%,,,,,,,,,,,,,,52.60%
2018-11-10,,46.73%,,,,,,,,,,,,,,53.27%
2018-11-11,,48.92%,,,,,,,,,,,,,,51.08%
2018-11-12,,50.55%,,,,,,,,,,,,,,49.45%
2018-11-13,,50.74%,,,,,,,,,,,,,,49.26%
2018-11-14,,50.19%,,,,,,,,,,,,,,49.81%
2018-11-15,,49.78%,,,,,,,,,,,,,,50.22%
2018-11-16,,50.32%,,,,,,,,,,,,,,49.68%
2018-11-17,,50.96%,,,,,,,,,,,,,,49.04%
2018-11-18,,50.46%,,,,,,,,,,,,,,49.54%
2018-11-19,,50.85%,,,,,,,,,,,,,,49.15%
2018-11-20,,50.48%,,,,,,,,,,,,,,49.52%
2018-11-21,,46.61%,,,,,,,,,,,,,,53.39%
2018-11-22,,48.59%,,,,,,,,,,,,,,51.41%
2018-11-23,,48.86%,,,,,,,,,,,,,,51.14%
2018-11-24,,47.09%,,,,,,,,,,,,,,52.91%
2018-11-25,,44.82%,,,,,,,,,,,,,,55.18%
2018-11-26,,44.83%,,,,,,,,,,,,,,55.17%
2018-11-27,,46.78%,,,,,,,,,,,,,,53.22%
2018-11-28,,47.19%,,,,,,,,,,,,,,52.81%
2018-11-29,,51.27%,,,,,,,,,,,,,,48.73%
2018-11-30,,51.09%,,,,,,,,,,,,,,48.91%
2018-12-01,,49.96%,,,,,,,,,,,,,,50.04%
2018-12-02,,51.55%,,,,,,,,,,,,,,48.45%
2018-12-03,,51.68%,,,,,,,,,,,,,,48.32%
2018-12-04,,52.03%,,,,,,,,,,,,,,47.97%
2018-12-05,,53.30%,,,,,,,,,,,,,,46.70%
2018-12-06,,51.42%,,,,,,,,,,,,,,48.58%
2018-12-07,,49.91%,,,,,,,,,,,,,,50.09%
2018-12-08,,50.64%,,,,,,,,,,,,,,49.36%
2018-12-09,,57.67%,,,,,,,,,,,,,,42.33%
2018-12-10,,60.51%,,,,,,,,,,,,,,39.49%
2018-12-11,,60.61%,,,,,,,,,,,,,,39.39%
2018-12-12,,59.94%,,,,,,,,,,,,,,40.06%
2018-12-13,,60.91%,,,,,,,,,,,,,,39.09%
2018-12-14,,61.04%,,,,,,,,,,,,,,38.96%
2018-12-15,,59.47%,,,,,,,,,,,,,,40.53%
2018-12-16,,58.99%,,,,,,,,,,,,,,41.01%
2018-12-17,,61.15%,,,,,,,,,,,,,,38.85%
2018-12-18,,64.18%,,,,,,,,,,,,,,35.82%
2018-12-19,,66.50%,,,,,,,,,,,,,,33.50%
2018-12-20,,66.06%,,,,,,,,,,,,,,33.94%
2018-12-21,,68.45%,,,,,,,,,,,,,,31.55%
2018-12-22,,67.90%,,,,,,,,,,,,,,32.10%
2018-12-23,,69.24%,,,,,,,,,,,,,,30.76%
2018-12-24,,71.02%,,,,,,,,,,,,,,28.98%
2018-12-25,,72.07%,,,,,,,,,,,,,,27.93%
2018-12-26,,70.92%,,,,,,,,,,,,,,29.08%
2018-12-27,,70.72%,,,,,,,,,,,,,,29.28%
2018-12-28,,68.84%,,,,,,,,,,,,,,31.16%
2018-12-29,,70.41%,,,,,,,,,,,,,,29.59%
2018-12-30,,72.33%,,,,,,,,,,,,,,27.67%
2018-12-31,,71.74%,,,,,,,,,,,,,,28.26%
2019-01-01,,71.00%,,,,,,,,,,,,,,29.00%
2019-01-02,,71.46%,,,,,,,,,,,,,,28.54%
2019-01-03,,73.27%,,,,,,,,,,,,,,26.73%
2019-01-04,,0.19%,,99.74%,,,,,,,,,,,,0.07%
2019-01-05,,0.19%,,99.75%,,,,,,,,,,,,0.07%
2019-01-06,,0.20%,,99.74%,,,,,,,,,,,,0.06%
2019-01-07,,0.21%,,99.72%,,,,,,,,,,,,0.07%
2019-01-08,,0.21%,,99.72%,,,,,,,,,,,,0.07%
2019-01-09,,0.22%,,99.72%,,,,,,,,,,,,0.07%
2019-01-10,,0.59%,,99.22%,,,,,,,,,,,,0.18%
2019-01-11,,0.24%,,99.68%,,,,,,,,,,,,0.08%
2019-01-12,,0.20%,,99.73%,,,,,,,,,,,,0.07%
2019-01-13,,0.22%,,99.70%,,,,,,,,,,,,0.08%
2019-01-14,,0.32%,,99.57%,,,,,,,,,,,,0.11%
2019-01-15,,0.26%,,99.66%,,,,,,,,,,,,0.08%
2019-01-16,,0.23%,,99.69%,,,,,,,,,,,,0.08%
