date,aave,uniswap,lido,maker,rocketpool,curve,convex,binancestakedeth,compound,Fraxeth,balancerv2,dydx,aura,yfi,snx,others
3/11/2018,,0.15,,,,,,,,,,,,,,0.85
4/11/2018,,0.18,,,,,,,,,,,,,,0.82
5/11/2018,,0.18,,,,,,,,,,,,,,0.82
6/11/2018,,0.18,,,,,,,,,,,,,,0.82
7/11/2018,,0.44,,,,,,,,,,,,,,0.56
8/11/2018,,0.48,,,,,,,,,,,,,,0.52
9/11/2018,,0.47,,,,,,,,,,,,,,0.53
10/11/2018,,0.47,,,,,,,,,,,,,,0.53
11/11/2018,,0.49,,,,,,,,,,,,,,0.51
12/11/2018,,0.51,,,,,,,,,,,,,,0.49
13/11/2018,,0.51,,,,,,,,,,,,,,0.49
14/11/2018,,0.50,,,,,,,,,,,,,,0.50
15/11/2018,,0.50,,,,,,,,,,,,,,0.50
16/11/2018,,0.50,,,,,,,,,,,,,,0.50
17/11/2018,,0.51,,,,,,,,,,,,,,0.49
18/11/2018,,0.50,,,,,,,,,,,,,,0.50
19/11/2018,,0.51,,,,,,,,,,,,,,0.49
20/11/2018,,0.50,,,,,,,,,,,,,,0.50
21/11/2018,,0.47,,,,,,,,,,,,,,0.53
22/11/2018,,0.49,,,,,,,,,,,,,,0.51
23/11/2018,,0.49,,,,,,,,,,,,,,0.51
24/11/2018,,0.47,,,,,,,,,,,,,,0.53
25/11/2018,,0.45,,,,,,,,,,,,,,0.55
26/11/2018,,0.45,,,,,,,,,,,,,,0.55
27/11/2018,,0.47,,,,,,,,,,,,,,0.53
28/11/2018,,0.47,,,,,,,,,,,,,,0.53
29/11/2018,,0.51,,,,,,,,,,,,,,0.49
30/11/2018,,0.51,,,,,,,,,,,,,,0.49
1/12/2018,,0.50,,,,,,,,,,,,,,0.50
2/12/2018,,0.52,,,,,,,,,,,,,,0.48
3/12/2018,,0.52,,,,,,,,,,,,,,0.48
4/12/2018,,0.52,,,,,,,,,,,,,,0.48
5/12/2018,,0.53,,,,,,,,,,,,,,0.47
6/12/2018,,0.51,,,,,,,,,,,,,,0.49
7/12/2018,,0.50,,,,,,,,,,,,,,0.50
8/12/2018,,0.51,,,,,,,,,,,,,,0.49
9/12/2018,,0.58,,,,,,,,,,,,,,0.42
10/12/2018,,0.61,,,,,,,,,,,,,,0.39
11/12/2018,,0.61,,,,,,,,,,,,,,0.39
12/12/2018,,0.60,,,,,,,,,,,,,,0.40
13/12/2018,,0.61,,,,,,,,,,,,,,0.39
14/12/2018,,0.61,,,,,,,,,,,,,,0.39
15/12/2018,,0.59,,,,,,,,,,,,,,0.41
16/12/2018,,0.59,,,,,,,,,,,,,,0.41
17/12/2018,,0.61,,,,,,,,,,,,,,0.39
18/12/2018,,0.64,,,,,,,,,,,,,,0.36
19/12/2018,,0.66,,,,,,,,,,,,,,0.34
20/12/2018,,0.66,,,,,,,,,,,,,,0.34
21/12/2018,,0.68,,,,,,,,,,,,,,0.32
22/12/2018,,0.68,,,,,,,,,,,,,,0.32
23/12/2018,,0.69,,,,,,,,,,,,,,0.31
24/12/2018,,0.71,,,,,,,,,,,,,,0.29
25/12/2018,,0.72,,,,,,,,,,,,,,0.28
26/12/2018,,0.71,,,,,,,,,,,,,,0.29
27/12/2018,,0.71,,,,,,,,,,,,,,0.29
28/12/2018,,0.69,,,,,,,,,,,,,,0.31
29/12/2018,,0.70,,,,,,,,,,,,,,0.30
30/12/2018,,0.72,,,,,,,,,,,,,,0.28
31/12/2018,,0.72,,,,,,,,,,,,,,0.28
1/01/2019,,0.71,,,,,,,,,,,,,,0.29
2/01/2019,,0.71,,,,,,,,,,,,,,0.29
3/01/2019,,0.73,,,,,,,,,,,,,,0.27
4/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
5/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
6/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
7/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
8/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
9/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
10/01/2019,,0.01,,0.99,,,,,,,,,,,,0.00
11/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
12/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
13/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
14/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
15/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
16/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
17/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
18/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
19/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
20/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
21/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
22/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
23/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
24/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
25/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
26/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
27/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
28/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
29/01/2019,,0.01,,0.99,,,,,,,,,,,,0.00
30/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
31/01/2019,,0.00,,1.00,,,,,,,,,,,,0.00
1/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
2/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
3/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
4/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
5/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
6/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
7/02/2019,,0.00,,1.00,,,,,,,,,,,,0.00
8/02/2019,,0.00,,0.99,,,,,,,,,,,,0.00
9/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
10/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
11/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
12/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
13/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
14/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
15/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
16/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
17/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
18/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
19/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
20/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
21/02/2019,,0.01,,0.99,,,,,,,,,,,,0.00
22/02/2019,,0.02,,0.98,,,,,,,,,,,,0.00
23/02/2019,,0.02,,0.98,,,,,,,,,,,,0.00
24/02/2019,,0.02,,0.98,,,,,,,,,,,,0.00
25/02/2019,,0.02,,0.98,,,,,,,,,,,,0.00
26/02/2019,,0.01,,0.98,,,,,,,,,,,,0.00
27/02/2019,,0.01,,0.98,,,,,,,,,,,,0.00
28/02/2019,,0.02,,0.98,,,,,,,,,,,,0.00
1/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
2/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
3/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
4/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
5/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
6/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
7/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
8/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
9/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
10/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
11/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
12/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
13/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
14/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
15/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
16/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
17/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
18/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
19/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
20/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
21/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
22/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
23/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
24/03/2019,,0.03,,0.97,,,,,,,,,,,,0.00
25/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
26/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
27/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
28/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
29/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
30/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
31/03/2019,,0.02,,0.98,,,,,,,,,,,,0.00
1/04/2019,,0.02,,0.98,,,,,,,,,,,,0.00
2/04/2019,,0.02,,0.98,,,,,,,,,,,,0.00
3/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
4/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
5/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
6/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
7/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
8/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
9/04/2019,,0.02,,0.97,,,,,,,,,,,,0.00
10/04/2019,,0.02,,0.97,,,,,,,,,,,,0.00
11/04/2019,,0.02,,0.98,,,,,,,,,,,,0.00
12/04/2019,,0.02,,0.97,,,,,,,,,,,,0.00
13/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
14/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
15/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
16/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
17/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
18/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
19/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
20/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
21/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
22/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
23/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
24/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
25/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
26/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
27/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
28/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
29/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
30/04/2019,,0.03,,0.97,,,,,,,,,,,,0.00
1/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
2/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
3/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
4/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
5/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
6/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
7/05/2019,,0.03,,0.97,,,,,,,,,,,,0.00
8/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
9/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
10/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
11/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
12/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
13/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
14/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
15/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
16/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
17/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
18/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
19/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
20/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
21/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
22/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
23/05/2019,,0.03,,0.97,,,,,0.00,,,,,,,0.00
24/05/2019,,0.04,,0.96,,,,,0.01,,,,,,,0.00
25/05/2019,,0.03,,0.94,,,,,0.02,,,,,,,0.00
26/05/2019,,0.03,,0.94,,,,,0.02,,,,,,,0.00
27/05/2019,,0.04,,0.94,,,,,0.02,,,,,,,0.00
28/05/2019,,0.04,,0.94,,,,,0.03,,,,,,,0.00
